Program,University/Hochschule,Location,Period Of Study,Area Of Study,Focus,Deadlines,Admission Semester,Annotation,Admission Modus,Admission requirements,Lecture period,Find Student advisory service,Links
Data Science,RWTH Aachen University,Aachen,4 semesters,Computer Science,-,The current semester dates are available at https://www.rwth-aachen.de/cms/root/studium/Im-Studium/~egv/Semestertermine/. | The current semester dates are available at https://www.rwth-aachen.de/cms/root/studium/Im-Studium/~egv/Semestertermine/.,Summer and Winter Semester,-,Without admission restriction | https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaiwrssm,"1. University degree, subject-specific training according to subject-specific examination regulations

Knowledge of English",-,studienberatungatrwth-aachen.de | http://www.rwth-aachen.de/cms/root/Studium/Im_Studium/Beratung_Hilfe/~rcw/Abteilung_1_4_Zentrale_Studienberatung/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rwth-aachen-university-data-science-w64410/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w64410&hec-offset=82"
Data Science,University of Erlangen-Nuremberg,Erlangen,4 semesters,Data Science,-,Closing date for applications for Master´s degree programmes: www.master.fau.de | Closing date for applications for Master´s degree programmes: www.master.fau.de,Summer and Winter Semester,New course in winter semester 2021/22!,Without admission restriction | https://www.fau.de/education/bewerbung/bewerbung-masterstudium/,Good Bachelor's degree (or equivalent) in a relevant degree course.,23.04.2025 - 25.07.2025 | 13.10.2025 - 06.02.2026,zsbatfau.de | https://www.zsb.fau.de,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-data-science-w64790/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w64790&hec-offset=83"
Data Science,Technical University Braunschweig,Braunschweig,4 semesters,Software Engineering | Applied Mathematics | Data Science,"Methods and Concepts of Mathematics, 25 CP (incl. Linear Algebra in Data Science, Optimisation in Data Science), Methods and Concepts of Computer Science, 25 CP (including data processing, data analysis, data management), Application Area, 15-25 CP (Image and signal processing\; Medicine\; Biology, Chemistry and Pharmacy\; Data Science in Engineering), Key Qualifications and Ethics, 5-15 CP",01.06.2026 - 15.07.2026 (Universitywide deadline) | The deadline has passed,Summer and Winter Semester,-,Local admission restriction,Bachelor's degree in Data Science or Computer Science or Mathematics or closely related subjects. English language skills as a native speaker or as a graduate of an English-only degree course of at least two years or an English test (see under Language skills),07.04.2025 - 19.07.2025 | 14.10.2024 - 01.02.2025,zsbattu-braunschweig.de | https://www.tu-braunschweig.de/zsb,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-braunschweig-data-science-w64805/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w64805&hec-offset=84"
Data Science,University of Europe for Applied Sciences,Potsdam,4 years,Digital Media | Data Science,"Marketing, Entrepreneurship, Customer Relationship Management",Enquire at the university!,Summer and Winter Semester,"Master of Science (MSc)
All Master's programmes at the UE are offered as a 1-year, 1.5-year or 2-year option.
ECTS variant: 120-90-60",Without admission restriction,-,24.03.2025 - 12.07.2025 | 29.09.2025 - 04.01.2026,- | -,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-europe-for-applied-sciences-data-science-w65199/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w65199&hec-offset=85"
Data Science,Technical University of Hamburg,Hamburg,4 semesters,Electrical Engineering | Mathematics | Engineering Informatics,-,Expired,Winter Semester only,-,Without admission restriction | https://www.tuhh.de/tuhh/en/studying/before-studying/degree-courses/international-study-programs/how-and-when-to-apply.html,Applicants must hold a Bachelor's or equivalent degree in a Data Science programme - or an equivalent programme with a sufficiently strong background in Computer Science and Mathematics.,13.10.2025 - 31.01.2026,studienberatungattuhh.de | https://www.tuhh.de/tuhh/studium/ansprechpartner/studienberatung.html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-hamburg-data-science-w66982/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w66982&hec-offset=86"
Data Science,Fulda University of Applied Sciences,Fulda,4 semesters,Data Science,-,01.03.2025 - 30.09.2025,Winter Semester only,"The programme starts in the winter semester of 2024/25, is taught in English and has a 90- and a 120-ECTS option.",Without admission restriction | https://www.hs-fulda.de/studium/ihre-bewerbung,"First professional degree (e.g. Bachelor’s degree) in Computer Science or a related subject (German university degree: 210 ECTS or 180 ECTS, international university degree: 3.5 years standard period of study), final grade good, very good knowledge of English, entrance examination, aptitude test if applicable.",13.10.2025 - 13.02.2026 | 13.04.2026 - 17.07.2026,studienberatungaths-fulda.de | https://www.hs-fulda.de/studienberatung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/fulda-university-of-applied-sciences-data-science-w69119/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w69119&hec-offset=87"
Data Science,University of Greifswald,Greifswald,4 semesters,Data Science,-,Until 15.07.2026 (Universitywide deadline),Winter Semester only,-,Local admission restriction | https://www.uni-greifswald.de/?id=289553,"Zugangsvoraussetzungen für den Masterstudiengang „Data Science“ sind:
1. ein erster berufsqualifizierender Hochschulabschluss,
2. grundlegende Kenntnisse der Linearen Algebra, Analysis, Statistik und Programmierung sowie
3. nachgewiesene Kenntnisse des Englischen auf dem Niveau B2 des „Gemeinsamen Europäischen Referenzrahmens“ (GER) oder alternativ mindestens siebenjähriger aufsteigender Englischunterricht an einer allgemeinbildenden Schule.",13.10.2025 - 31.01.2026 | 13.04.2026 - 25.07.2026,zsbatuni-greifswald.de | https://www.uni-greifswald.de/studium/ansprechpartner/studienberatung/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-greifswald-data-science-w70182/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w70182&hec-offset=88"
Data Science,TU Dortmund University,Dortmund,4 semesters,Applied Computer Science | Applied Mathematics | Statistics,-,"Expired | The application and enrolment periods of the Master's degree programmes vary depending on the degree programme. For more information, please refer to the following website:
www.international.tu-dortmund.de/internationale-studierende/studienbewerber/-innen/bewerbung/master/bewerbung-nicht-eu/ewr-staatsangehoerige/
www.international.tu-dortmund.de/en/international-students/international-applicants/application/master/application-information-for-eu/eea-nationals/",Summer and Winter Semester,-,Without admission restriction | https://www.tu-dortmund.de/studieninteressierte/bewerbung-und-einschreibung/einschreibvoraussetzungen/master-1-fach/,Please note the special enrolment requirements for Master's degree courses at the TU Dortmund University.,07.04.2025 - 18.07.2025 | 07.10.2024 - 31.01.2025,zsbattu-dortmund.de | https://www.tu-dortmund.de/beratung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/tu-dortmund-university-data-science-w7041/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w7041&hec-offset=89"
Data Science,Technische Universität Ilmenau,Ilmenau,4 semesters,Computer Science | Mathematics | Data Science,-,16.01.2026 - 15.05.2026 | 16.07.2025 - 15.11.2025 (Universitywide deadline),Summer and Winter Semester,"The introduction will take place in the winter semester 2025/26 subject to the approval of the Thuringian Ministry of Education, Science and Culture. Information will be forthcoming soon. Subject to change.",Without admission restriction | https://www.tu-ilmenau.de/studium/vor-dem-studium/studienangebot/bewerbung,"Bachelor's degree from an accredited university in the same or a similar subject area. The faculties administer an aptitude test on the basis of the application documents (transcripts of the previous degree). 
Proof of German or English, according to the teaching language of the course.",13.10.2025 - 06.02.2026 | 07.04.2026 - 17.07.2026,studienberatungattu-ilmenau.de | https://www.tu-ilmenau.de/studium/im-studium/information-und-beratung/studierendenberatung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-universitaet-ilmenau-data-science-w72756/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w72756&hec-offset=90"
Data Science (Research Master),Bielefeld University of Applied Sciences and Arts (HSBI),Gütersloh,4 semesters,Applied Computer Science | Computer Science | Statistics | Robotics | Artificial Intelligence | Data Science,"Data Science, Applied research",Until 15.01.2026 | Expired,Summer and Winter Semester,-,Local admission restriction | https://www.hsbi.de/studiengaenge/data-science-en,"- Successfully completed Bachelor's degree (180 ECTS) with a specialisation in Mathematics / Statistics or Computer Science,; 
e.g. Instrumental Biotechnology, Digital Logistics, Digital Technologies, Electrical Engineering, Computer Science, Engineering Informatics, 
Applied Mathematics, Mechatronics, Mechatronics/Automation, Business Informatics. 
- The degree obtained beforehand must have been completed with a grade of at least 2.5.
- Successfully passed aptitude test.",22.09.2025 - 06.02.2026 | 06.04.2026 - 31.07.2026,zsbathsbi.de | https://www.hsbi.de/zsb,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/bielefeld-university-of-applied-sciences-and-arts-hsbi-data-science-research-master-w70803/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w70803&hec-offset=91"
